k k-norm-order1 k-norm-order2 k-norm-order3 
1.000000000000000000e+00 5.951310947255035178e-01 1.043862562155487839e-01 1.162241707474152234e-03
2.000000000000000000e+00 1.208702937979974967e+00 1.792489570015490807e-01 2.534062138088905448e-03
3.000000000000000000e+00 1.874386731945837381e+00 2.953413936664262551e-01 4.160764172482948019e-03
4.000000000000000000e+00 2.330320488879108254e+00 3.990584710111953481e-01 6.254380824840391657e-03
5.000000000000000000e+00 2.880827697793945763e+00 5.396582771280256097e-01 1.204373070017798579e-02
6.000000000000000000e+00 3.555616766498959080e+00 6.139048717645186892e-01 1.018026805016382895e-02
