L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl cond 
6.334831069996458286e-01 7.560566722664417982e-01 1.396911710980156229e+01 2.392859031876586658e-03 1.183992013029028512e-01 3.862184974527743068e-03 1.054441045014862860e-03 1.936382720460914086e-01 1.531523928601492002e-01 7.920000000000000000e+02 1.541893967219279959e-01 0.000000000000000000e+00 5.263465851718051126e+05
2.490792570340673584e-01 4.367238854090484956e-01 8.069034136346827424e+00 1.391351751145917474e-03 6.228981242431561038e-02 1.448800705497566487e-03 3.721614224826199908e-04 8.427502792283865507e-02 5.672817829116990479e-02 2.888000000000000000e+03 7.709469836096399797e-02 1.000000000000000000e+00 3.694280022990455851e+06
1.471901559960021866e-01 2.368803610216551059e-01 4.376668607268055844e+00 5.091582908813987269e-04 2.844983813813855775e-02 6.934194521972485278e-04 1.722854574513385225e-04 3.367611914935452616e-02 1.799772085277831501e-02 1.101600000000000000e+04 3.854734918048200593e-02 2.000000000000000000e+00 2.840821699269498512e+07
1.223797623223980280e-01 1.391981980662633511e-01 2.571865312250218416e+00 1.618947750690713885e-04 1.366832236497850933e-02 3.228921846533162627e-04 7.918293106938158871e-05 1.473702881068923894e-02 5.497294123151441961e-03 4.301600000000000000e+04 1.927367459024103072e-02 3.000000000000000000e+00 2.718569808326484561e+08
1.020448152175747886e-01 9.333065559446276915e-02 1.724403613175380379e+00 5.655909639651576803e-05 6.619698771385044631e-03 1.432383131248968471e-04 3.477408731523644450e-05 6.877529574533581581e-03 1.858783430587526058e-03 1.699920000000000000e+05 9.636837295120522298e-03 4.000000000000000000e+00 2.629513818313001633e+09
8.170557440338392652e-02 6.937944782276159184e-02 1.281874318182498307e+00 2.459830528115882251e-05 3.180918590059357304e-03 6.087175630545434667e-05 1.464564743278199873e-05 3.279411641956953612e-03 7.948413039660506959e-04 6.758480000000000000e+05 4.818418647560273292e-03 5.000000000000000000e+00 2.813954658784473038e+10
