ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
6.640000000000000000e+02 3.880752628531664028e-02 7.288493240252969407e+00 3.554455052308305607e+00 1.059823927818885814e+01
1.824000000000000000e+03 2.341464528954234972e-02 6.546840471688056162e+00 2.043865660921378780e+00 9.971744042324475643e+00
6.048000000000000000e+03 1.285861249684099213e-02 6.784121094365797688e+00 1.531826535737037309e+00 1.048346788882580505e+01
2.157600000000000000e+04 6.807921404144805060e-03 6.344287651477887202e+00 1.199942364272899242e+00 9.849355179360111734e+00
8.123200000000000000e+04 3.508620745976671115e-03 4.383602345846431270e+00 7.484586566486831627e-01 6.819094440927452538e+00
3.145040000000000000e+05 1.783146039528325918e-03 3.057659917786481163e+00 4.796614490022357291e-01 4.762995761592200950e+00
