k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.335739608313460280e-01 3.925763947643804208e+00
2.000000000000000000e+00 9.249263952680955025e-01 1.052725302056144674e+00
3.000000000000000000e+00 1.448360999814874317e+00 1.024110352138976587e+01
4.000000000000000000e+00 2.000212011337405560e+00 8.298341712806578840e+00
5.000000000000000000e+00 2.468166176769848175e+00 7.427328741456376449e+00
6.000000000000000000e+00 2.968081005999758215e+00 4.613936280282021585e+01
7.000000000000000000e+00 3.478374777984445387e+00 5.174799540017020583e+00
8.000000000000000000e+00 3.963690516329368307e+00 3.356732900121463103e+01
9.000000000000000000e+00 4.465778351710449456e+00 1.173128910451706908e+01
1.000000000000000000e+01 4.964099019378636513e+00 2.315184963118478478e+01
