gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
1.000000000000000030e-13 7.395333699647892167e-02 1.989865545441521846e-02 3.402963729097539802e-02 1.408348268648386111e-03 4.315268496461044725e-03 2.843687698581617591e-03
9.999999999999999395e-12 7.395333699503599256e-02 1.989865545435752503e-02 3.402963797531220053e-02 1.408348270020159682e-03 4.315268496461044725e-03 2.843687698581617591e-03
1.000000000000000062e-09 7.395333698365252895e-02 1.989865545364899804e-02 3.402963798677316465e-02 1.408348269704294076e-03 4.315301829290462375e-03 2.843706452690035295e-03
9.999999999999999547e-08 7.395333584889823841e-02 1.989865538378125798e-02 3.402963689884615228e-02 1.408348267623239346e-03 4.315316603719109891e-03 2.843716358952703971e-03
1.000000000000000082e-05 7.395322286597985628e-02 1.989864840033423940e-02 3.402959439366536054e-02 1.408348194810507808e-03 4.315258516565227860e-03 2.843681490179022619e-03
1.000000000000000021e-03 7.394196499410188306e-02 1.989795029247146130e-02 3.402549816090418705e-02 1.408341141027517809e-03 4.315213520483463655e-03 2.843655417449640448e-03
1.000000000000000056e-01 7.317012089885230330e-02 1.983042455205083140e-02 3.361784675740958628e-02 1.407640433075632146e-03 4.305110492664829085e-03 2.837609106920421786e-03
1.000000000000000000e+01 1.054372396325867350e-01 1.923882509660808718e-02 1.364171078664829125e-02 1.373879589321156704e-03 3.326457214516049133e-03 2.252165398245564113e-03
