k k-norm-order2 
1.000000000000000000e+00 2.924675639391021570e-02
2.000000000000000000e+00 3.642390162978739743e-02
3.000000000000000000e+00 5.520457849831043179e-02
4.000000000000000000e+00 9.417469465699762621e-02
5.000000000000000000e+00 1.898486590698354459e-01
6.000000000000000000e+00 3.934615281065169667e-01
7.000000000000000000e+00 3.938345257360909568e-01
8.000000000000000000e+00 9.139559568641515419e-01
9.000000000000000000e+00 7.538746904198867504e-01
1.000000000000000000e+01 1.001045264822189473e+00
