ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
7.200000000000000000e+02 3.726779962499649629e-02 4.947637387934968045e-02 1.341797098828792223e-01
2.640000000000000000e+03 1.946247360403807400e-02 1.297926992677857737e-02 9.967272574383452544e-02
1.010400000000000000e+04 9.948402116491736683e-03 6.092149756897487223e-03 6.612964020206772708e-02
3.952800000000000000e+04 5.029763669028806776e-03 3.646074772689186522e-03 3.712292805352542663e-02
1.563600000000000000e+05 2.528932100652551192e-03 1.754451978012289181e-03 1.692572841661052832e-02
6.219600000000000000e+05 1.267998595666972993e-03 6.873911278307975751e-04 6.541903397732479718e-03
