ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.264000000000000000e+03 4.134883848149784741e-02 5.399636180160358179e-03 8.181162458444872845e-03 2.249258895667523728e-03
1.520000000000000000e+04 2.433321316961438094e-02 5.213106886467201414e-04 8.177714875166244152e-04 1.361160043779079305e-04
5.208800000000000000e+04 1.314475250840204182e-02 3.105562148717390533e-05 4.748746198301276609e-05 1.188159000111085578e-05
1.896320000000000000e+05 6.889146844544462647e-03 2.137612209299646171e-06 3.301904534363662402e-06 7.276268408965756759e-07
