gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
1.000000000000000030e-13 7.267644593795967445e-02 1.995053144191690289e-02 1.131384999055038212e-02 6.553383617200056119e-04 1.755153749856407184e-03 4.717397823619019250e-04
9.999999999999999395e-12 7.267644892635218012e-02 1.995053121855374159e-02 1.131427776923074786e-02 6.553487958467994192e-04 1.755335084226401256e-03 4.718304879574736492e-04
1.000000000000000062e-09 7.267674774391807979e-02 1.995050887905729098e-02 1.135736737590633399e-02 6.563942046626194569e-04 1.766639478104599283e-03 4.794396845403429909e-04
9.999999999999999547e-08 7.270705906398410023e-02 1.994827977244259531e-02 1.642105680202103624e-02 7.720569501516378382e-04 2.917866760647765123e-03 1.305302082159838983e-03
1.000000000000000082e-05 7.968392627225329150e-02 1.977393078035317303e-02 7.095936387075481300e-02 5.306934486954073549e-03 1.472887581034348220e-02 4.326924455342153614e-02
1.000000000000000021e-03 1.424016782545616921e+00 1.103130068207888170e-01 1.059087407494227334e-01 5.935418542018735394e-02 5.298291818413523174e-02 1.238670337074319505e+00
1.000000000000000056e-01 4.584869678270146132e+00 2.873881180776716615e+00 3.807857279049108312e-01 8.334364624005917710e-01 7.660410278756674129e-02 1.937214581282058390e+01
1.000000000000000000e+01 1.589803366006858631e+01 5.214237463021995467e+01 2.302542492369801241e+00 1.192502717791114009e+01 7.850464041678915095e-01 1.190180981816056146e+03
