ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
7.200000000000000000e+02 3.726779962499649629e-02 7.150379928269741114e-01 5.653354429946600979e-01
2.640000000000000000e+03 1.946247360403807400e-02 2.503045070957466978e-01 2.662275119696725367e-01
1.010400000000000000e+04 9.948402116491736683e-03 7.391593040220940936e-02 1.835815499145015961e-01
3.952800000000000000e+04 5.029763669028806776e-03 2.351901001610206404e-02 1.416278631818906897e-01
1.563600000000000000e+05 2.528932100652551192e-03 1.034684705800016993e-02 1.030736032151048365e-01
6.219600000000000000e+05 1.267998595666972993e-03 5.465471659151675474e-03 6.919556679453725545e-02
