L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
1.178156615200812857e-01 2.674040486360235724e-01 4.940632902337902088e+00 1.181856550444965225e-03 2.786681329370710100e-02 5.956287570446823498e-02 7.039561318864548724e-06 7.806021149615824384e-02 4.204407614672298066e-02 6.296000000000000000e+03 1.541893967219279959e-01 0.000000000000000000e+00
1.501100320174435926e-02 6.818108100993083842e-02 1.259732953710256842e+00 1.241781478610526552e-04 6.613585057149078822e-03 1.554475154916828104e-02 1.192228025846529027e-07 1.782190679697748248e-02 5.676806639301420349e-03 2.439200000000000000e+04 7.709469836096399797e-02 1.000000000000000000e+00
1.458134874977662192e-03 1.331352296205735343e-02 2.459844190918470397e-01 1.898498880048042899e-05 1.217724943091963788e-03 3.227464985927232417e-03 1.457466860175469829e-09 3.493207549119235669e-03 5.502311141757987908e-04 9.600800000000000000e+04 3.854734918048200593e-02 2.000000000000000000e+00
1.051865543426765175e-04 1.967615789947804467e-03 3.635422633555657201e-02 2.985333269347820009e-06 1.796186544675740617e-04 5.089789708127002944e-04 1.330614648143674934e-11 5.412204930436482521e-04 3.985293105134331276e-05 3.809360000000000000e+05 1.927367459024103072e-02 3.000000000000000000e+00
