k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.236282410233871421e-01 7.099980379942105735e-02
2.000000000000000000e+00 8.960599204404532392e-01 1.361108336931468876e-01
3.000000000000000000e+00 1.399493883909744829e+00 2.288484841245894408e-01
4.000000000000000000e+00 1.929192998651711788e+00 3.266298211434566778e-01
5.000000000000000000e+00 2.378802609873617691e+00 3.920750716175466777e-01
6.000000000000000000e+00 2.860582540433278531e+00 4.612594140073313920e-01
7.000000000000000000e+00 3.352568552810530456e+00 5.449845182687038658e-01
8.000000000000000000e+00 3.820851451875733940e+00 6.193801083878056613e-01
9.000000000000000000e+00 4.304656320228801292e+00 6.976131357417550971e-01
1.000000000000000000e+01 4.784024842202162731e+00 7.715479396915693178e-01
