ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.264000000000000000e+03 4.134883848149784741e-02 3.735287323210052524e-01 7.405300964923641760e-02 4.743709327583691682e-01
1.520000000000000000e+04 2.433321316961438094e-02 5.210622879646422678e-01 5.238162646778521392e-02 6.655444663724778831e-01
5.208800000000000000e+04 1.314475250840204182e-02 1.135017659033995679e-01 3.526883935871440428e-03 1.452328088315115728e-01
1.896320000000000000e+05 6.889146844544462647e-03 5.287302829121166836e-02 2.143679983499563371e-03 6.764550042209448166e-02
