L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
8.062696814657449584e-02 1.791215418770974455e-01 1.749667251676094784e-04 6.580736570664998120e-03 3.228756150840015118e-03 6.589610408120165894e-05 7.380779139573901554e-03 8.426060536486538544e-04 1.444000000000000000e+03 5.263157894736841813e-02 0.000000000000000000e+00
3.346499194285294798e-02 7.602724803337605752e-02 3.464438727116412106e-05 9.162279447995087377e-04 5.149532880395753329e-04 7.252860142375671912e-06 1.077728460230586516e-03 2.357864727821554749e-04 5.508000000000000000e+03 2.694840278181477242e-02 1.000000000000000000e+00
1.475115611456667697e-02 3.809226892976314699e-02 6.523684859279693805e-06 1.763406423415192037e-04 9.962580656953924868e-05 8.925624348696079981e-07 2.100736263603146005e-04 5.537372918883912522e-05 2.150800000000000000e+04 1.363734984401611221e-02 2.000000000000000000e+00
6.495773612284617797e-03 1.909040475866050079e-02 1.165038448921847334e-06 3.651192394272802737e-05 1.815139785148352146e-05 1.090768445822756549e-07 4.275258426159030063e-05 1.279923492777954005e-05 8.499600000000000000e+04 6.860104821830491362e-03 3.000000000000000000e+00
