k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.198040561111052171e-01 2.994787274613388076e-02
2.000000000000000000e+00 8.911542223285254805e-01 5.763267886536641016e-02
3.000000000000000000e+00 1.390794786220814983e+00 9.421633758035444228e-02
4.000000000000000000e+00 1.917944380079849909e+00 1.315635538393893911e-01
5.000000000000000000e+00 2.364502211338195270e+00 1.611303293782278545e-01
6.000000000000000000e+00 2.844022462644408833e+00 1.943690965689507111e-01
7.000000000000000000e+00 3.333465501935746644e+00 2.281054034926504881e-01
8.000000000000000000e+00 3.800087959946323757e+00 2.592740139825885359e-01
9.000000000000000000e+00 4.281602173417899060e+00 2.928581560605503231e-01
1.000000000000000000e+01 4.758702533464214568e+00 3.242229836862173253e-01
