k k-norm-order1 
1.000000000000000000e+00 1.005833731910134698e+00
2.000000000000000000e+00 1.652748258146753191e+00
3.000000000000000000e+00 2.046361103203253151e+00
4.000000000000000000e+00 2.091658139259108928e+00
5.000000000000000000e+00 2.208202357212426747e+00
6.000000000000000000e+00 2.739915019345664504e+00
7.000000000000000000e+00 3.560468937296175973e+00
8.000000000000000000e+00 4.085388028187978193e+00
9.000000000000000000e+00 4.653406383242134403e+00
1.000000000000000000e+01 5.199117479290665145e+00
