ndof h L2-error-u-uh-B 
6.800000000000000000e+02 3.834824944236851774e-02 9.206221530950465137e+00
2.184000000000000000e+03 2.139802462554564466e-02 4.335564164645773211e+00
5.472000000000000000e+03 1.351845176089687926e-02 2.008417767828345024e+00
2.150400000000000000e+04 6.819309069874762187e-03 1.468432859919658551e+00
8.115200000000000000e+04 3.510349726885814842e-03 9.055002918279676516e-01
