L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
8.519696829487213297e-01 8.596059292905398053e-01 1.588232249646444139e+01 3.954391424898767889e-03 2.115937120570887398e-01 4.666569780403600001e-03 1.246276531648214756e-03 2.756740183990043502e-01 1.765935959991369597e-01 7.920000000000000000e+02 1.541893967219279959e-01 0.000000000000000000e+00
5.436023084283292395e-01 5.826971961931253219e-01 1.076607834909708394e+01 4.410004924740232660e-03 1.258351614708669575e-01 2.196470872849951017e-03 5.890718298973270052e-04 2.065742669543431942e-01 1.637492603707656480e-01 2.888000000000000000e+03 7.709469836096399797e-02 1.000000000000000000e+00
2.337313048214686995e-01 2.917185038247505635e-01 5.389873657496974779e+00 2.389916174374214896e-03 4.048045240302009656e-02 5.535769452625548216e-04 1.488729912858343762e-04 8.920835411019131800e-02 7.945705196125588121e-02 1.101600000000000000e+04 3.854734918048200593e-02 2.000000000000000000e+00
7.383790300307797871e-02 1.274669244536388302e-01 2.355114980047910311e+00 8.084404113620727739e-04 1.425135301604274485e-02 9.228601059984294726e-05 2.470208563852773455e-05 2.956339499666359519e-02 2.588881144705899515e-02 4.301600000000000000e+04 1.927367459024103072e-02 3.000000000000000000e+00
2.004561133991985752e-02 5.760111321096048065e-02 1.064254473637249454e+00 2.224187935358091627e-04 6.481867689861883428e-03 1.292577969610724286e-05 3.405983788345338019e-06 9.601720542258997473e-03 7.080168064851196860e-03 1.699920000000000000e+05 9.636837295120522298e-03 4.000000000000000000e+00
5.143485097889606734e-03 2.760764422814392452e-02 5.100866500405699666e-01 5.730951586589521745e-05 3.191513804886850734e-03 1.752555518282845224e-06 4.391064435800847239e-07 3.674593258074248907e-03 1.820326234669842301e-03 6.758480000000000000e+05 4.818418647560273292e-03 5.000000000000000000e+00
