ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.768000000000000000e+03 3.950104898622924798e-02 3.705007030156377834e-02 3.825625811525633357e-02
2.240000000000000000e+04 2.004459314343182835e-02 2.684292291058743528e-03 7.368122784137170513e-03
8.828000000000000000e+04 1.009694736894637887e-02 1.716486046997835939e-04 1.049638820437944452e-03
3.505040000000000000e+05 5.067278400416535579e-03 1.082606161561214116e-05 2.684065257265419490e-04
