k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 5.471814667506864627e-01 1.706320719601415459e-01
2.000000000000000000e+00 1.164391010478339483e+00 3.384798924783170571e-01
3.000000000000000000e+00 1.866725504492732446e+00 5.551336635052473989e-01
4.000000000000000000e+00 2.580871610262292393e+00 7.896416166994444374e-01
5.000000000000000000e+00 3.198146264493329838e+00 9.480200501784260547e-01
6.000000000000000000e+00 3.817767067977749562e+00 1.120862071104398616e+00
7.000000000000000000e+00 4.467011233440975282e+00 1.313656851081439925e+00
8.000000000000000000e+00 5.072424061099161108e+00 1.499962973916614484e+00
9.000000000000000000e+00 5.711463724704417544e+00 1.695717569703040883e+00
1.000000000000000000e+01 6.358833132579829517e+00 1.870606833310878958e+00
