ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.640000000000000000e+03 3.892494720807614800e-02 3.171358293411120410e+00 1.281299263698802315e+00 5.129250253555273531e+00
1.010400000000000000e+04 1.989680423298347337e-02 5.668072723993394790e-01 2.878320469584559893e-01 8.841316085247313827e-01
3.952800000000000000e+04 1.005952733805761355e-02 1.511014277988982357e-01 8.964448042531079908e-02 2.267227324104559294e-01
1.563600000000000000e+05 5.057864201305102385e-03 7.112617568732014506e-02 1.569752697291772539e-02 1.198013969848172600e-01
