ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
5.720000000000000000e+03 3.966644140109588240e-02 6.029183284303445134e-02 7.909047670861615170e-03 6.494730731741786556e-02
2.223200000000000000e+04 2.012018584341396243e-02 1.001576554684248249e-01 7.214736439840784476e-04 1.080214861104621116e-01
8.765600000000000000e+04 1.013282239176588155e-02 6.229763478082664396e-02 1.155971056280272647e-04 6.718913226851679077e-02
3.481040000000000000e+05 5.084716548681748882e-03 2.510875460006415164e-02 1.200359376936223734e-05 2.708025465649891231e-02
