k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 3.464058666652290341e+00 2.922711771249900892e+00
2.000000000000000000e+00 1.120522062324507395e+01 3.528712134928908561e+00
3.000000000000000000e+00 6.229558138546655854e+00 5.859022700059158240e+01
4.000000000000000000e+00 1.740004994274746153e+01 1.552794827327904770e+01
5.000000000000000000e+00 1.101879034310429795e+01 2.977027046467285487e+01
6.000000000000000000e+00 1.889044152215369468e+04 5.124909932889846687e+01
7.000000000000000000e+00 5.239421463551289548e+01 9.234931910233420638e+01
8.000000000000000000e+00 1.994079743271673877e+01 9.689368488384354805e+01
9.000000000000000000e+00 1.547272201578054364e+03 2.876578124633912807e+02
1.000000000000000000e+01 2.303345981090031103e+01 1.740933945073393829e+02
