k l2-order1 
1.000000000000000000e+00 2.172068499817284282e-01
2.000000000000000000e+00 2.742875835639447812e-01
3.000000000000000000e+00 3.100700379189607059e-01
4.000000000000000000e+00 2.671996890604058095e-01
5.000000000000000000e+00 2.966654925862053371e-01
6.000000000000000000e+00 2.490199519423618446e-01
7.000000000000000000e+00 2.616511347171584512e-01
8.000000000000000000e+00 2.557072622737414647e-01
9.000000000000000000e+00 2.120629910184861078e-01
