ndof L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.548000000000000000e+03 1.504655632853501845e-01 6.122409395602830262e-01
9.796000000000000000e+03 4.082956297324618483e-02 6.077455056265593791e-01
3.840400000000000000e+04 7.152752211615450925e-03 4.068737461630240748e-01
1.520680000000000000e+05 1.818785942067825722e-03 3.137444623195732030e-01
6.051880000000000000e+05 6.017877797897250910e-04 2.392284887073035382e-01
