ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
5.720000000000000000e+03 3.966644140109588240e-02 6.396625915637397684e-04 1.156542857549800775e-02 1.047498297260149869e-01
2.223200000000000000e+04 2.012018584341396243e-02 7.194157507272347135e-05 2.542578724961526773e-03 2.437959589533881394e-02
8.765600000000000000e+04 1.013282239176588155e-02 7.885022615399876926e-06 8.732302188389973923e-04 9.393324609642813433e-03
3.481040000000000000e+05 5.084716548681748882e-03 1.235033427877651129e-06 3.761052958446473959e-04 6.050825575262415087e-03
