ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
7.200000000000000000e+02 3.726779962499649629e-02 2.798117364321659264e-02 2.729908350869302003e-02
2.640000000000000000e+03 1.946247360403807400e-02 7.033552838248178542e-03 7.022651283060660395e-03
1.010400000000000000e+04 9.948402116491736683e-03 1.767109723240651393e-03 1.787477916550564818e-03
3.952800000000000000e+04 5.029763669028806776e-03 4.430768217450389694e-04 4.495347541241641797e-04
1.563600000000000000e+05 2.528932100652551192e-03 1.109535134228759029e-04 1.125382539227818884e-04
6.219600000000000000e+05 1.267998595666972993e-03 2.776279715632813615e-05 2.813746371714850346e-05
