L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
1.300785851853268338e-01 3.987015589371935564e-01 1.982702232919956141e-03 1.251601733064656649e-02 1.613947149866692965e-04 2.282465948294879214e-04 1.308000536359222449e-02 3.229024246433202881e-03 3.960000000000000000e+02 5.025189076296060486e-02 0.000000000000000000e+00
3.504732633251869678e-02 2.037438260142985236e-01 7.224290200951837817e-04 6.161018032276165124e-03 2.195593020234818497e-05 3.105037426667785303e-05 6.261543971058975040e-03 8.517275560788728755e-04 1.444000000000000000e+03 2.631578947368420907e-02 1.000000000000000000e+00
9.145518901639768106e-03 1.020494896852902206e-01 2.261309016668001481e-04 3.062563068429533658e-03 2.982113503522611879e-06 4.217345361217622202e-06 3.079262822559812943e-03 2.267269692802836780e-04 5.508000000000000000e+03 1.347420139090738621e-02 2.000000000000000000e+00
2.316842460726054476e-03 5.100618994379881727e-02 6.915898148694064841e-05 1.606025731164210848e-03 3.828400146232254055e-07 5.414175408992782672e-07 1.608547243338454957e-03 5.763835936651239103e-05 2.150800000000000000e+04 6.818674922008056104e-03 3.000000000000000000e+00
5.814080065449081167e-04 2.549645934742828315e-02 2.333178235265701751e-05 8.233865780932526912e-04 4.821396773321436756e-08 6.818484706413066336e-08 8.238440993875594974e-04 1.446596246611427499e-05 8.499600000000000000e+04 3.430052410915245681e-03 4.000000000000000000e+00
