k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.850163165247929897e-01 1.359431718556293189e-01
2.000000000000000000e+00 1.026342824530792397e+00 2.708263869744607089e-01
3.000000000000000000e+00 1.625917894628633897e+00 4.478515888479859819e-01
4.000000000000000000e+00 2.245319950088062289e+00 6.398962549911331177e-01
5.000000000000000000e+00 2.775783807616860166e+00 7.688997187670885136e-01
6.000000000000000000e+00 3.326263563352698238e+00 9.063865828879478226e-01
7.000000000000000000e+00 3.894451360132937356e+00 1.064711621486329252e+00
8.000000000000000000e+00 4.428800036058411216e+00 1.214218290762054009e+00
9.000000000000000000e+00 4.986884397898847965e+00 1.371526758606864904e+00
1.000000000000000000e+01 5.545989322864548932e+00 1.514826714288460607e+00
