ndof h L2-error-u-uh-B 
2.496000000000000000e+03 4.003203845127178279e-02 9.813538314290459752e+00
8.328000000000000000e+03 2.191591651594588727e-02 2.155502457990781107e+00
2.112800000000000000e+04 1.375944135600652880e-02 1.319050338699876423e-01
8.452000000000000000e+04 6.879395080110183198e-03 1.066976567423500583e-02
