ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
7.120000000000000000e+02 3.747658444979307113e-02 7.727264234725410574e-01 3.098796479093571143e+00 7.551327812944338413e-01
2.616000000000000000e+03 1.955154717514437715e-02 3.419661697874721851e-01 1.847102385896068899e+00 3.625570289213312369e-01
1.002400000000000000e+04 9.988021556890524719e-03 2.274712694427082071e-01 1.390312439342976436e+00 1.692694624852343066e-01
3.924000000000000000e+04 5.048187773461522247e-03 1.518616612659570153e-01 9.896943475183249683e-01 7.734804976459645764e-02
1.552720000000000000e+05 2.537776821518587366e-03 9.128465663852078360e-02 6.404327651327444970e-01 3.490983388688945199e-02
6.177360000000000000e+05 1.272326416356358517e-03 5.081483242216151136e-02 3.766383914754014017e-01 1.595694572067399633e-02
