L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
5.840349414192640143e-02 1.706873821480549280e-01 4.332728642429810595e-01 6.676356396762194107e-04 6.304011327414665248e-04 2.716386196623758829e-03 1.618481040279529722e-04 3.098298924100268293e-03 1.162482046987285212e-03 3.176000000000000000e+03 5.018856132284955918e-02 0.000000000000000000e+00
3.814404144731598639e-02 1.125629409950599513e-01 2.857297782576545542e-01 1.797748812816024936e-04 1.191517767814298534e-04 5.169113595833475794e-04 2.635326603005584697e-05 6.109751753912491968e-04 2.426575010124888926e-04 1.216800000000000000e+04 2.564102564102564014e-02 1.000000000000000000e+00
1.715199089115244935e-02 5.957109207481536828e-02 1.512152647988312115e-01 3.846618631514068441e-05 2.428424756804901453e-05 1.008355406634885815e-04 3.294471404340431855e-06 1.145787787090590267e-04 2.966925274000059963e-05 4.762400000000000000e+04 1.296080745235029912e-02 2.000000000000000000e+00
8.878746349503436469e-03 3.424452713555069944e-02 8.692631036895676067e-02 7.727232546191296892e-06 4.853139208497824230e-06 2.028500944234410281e-05 4.615135208154382131e-07 2.274379854446599396e-05 4.724689029490895154e-06 1.884240000000000000e+05 6.515937109885956528e-03 3.000000000000000000e+00
4.831804577685760646e-03 1.992986631468322833e-02 5.058997421761588648e-02 1.598941614385417171e-06 9.689634914822869813e-07 4.072699405780785917e-06 6.439010369659964364e-08 4.588315044713897701e-06 9.829058348629753054e-07 7.495760000000000000e+05 3.266909900793542754e-03 4.000000000000000000e+00
