ndof h L2-error-u-uh-B 
5.864000000000000000e+03 3.917637732416776736e-02 1.068080269176433816e+01
1.656800000000000000e+04 2.330699117774613985e-02 4.704777978157410612e-01
5.189600000000000000e+04 1.316904592664781305e-02 3.236893789079598599e-02
1.920080000000000000e+05 6.846389337189115638e-03 1.672261839638141756e-03
