gamma-Jump l2-order1 s-order1 l2-order2 s-order2 l2-order3 s-order3 
9.999999999999999988e-15 8.214350467185632665e-02 6.332634115488243280e-03 8.889275624618060700e-03 2.398341290901935801e-05 7.372267156823941042e-04 4.608384869223926326e-04
1.000000000000000030e-13 8.214350471820296151e-02 6.332634115903785013e-03 8.889136293813432524e-03 2.398337392204271995e-05 8.686407978379997183e-04 5.322749602992380303e-04
9.999999999999999799e-13 8.214350471723869118e-02 6.332634115671042369e-03 8.889063850219093912e-03 2.398334564026677129e-05 7.879555199699083985e-04 4.939064673796108272e-04
9.999999999999999395e-12 8.214350497234414183e-02 6.332634117284920670e-03 8.889239220425691756e-03 2.398341390155814233e-05 7.554875857115575955e-04 4.718239369705716176e-04
1.000000000000000036e-10 8.214350794726475724e-02 6.332634136132607970e-03 8.889260609767428781e-03 2.398346406782686106e-05 8.746433378043300079e-04 5.213967963431995331e-04
1.000000000000000062e-09 8.214353717787353792e-02 6.332634321834951230e-03 8.890481405020186217e-03 2.398440054403998221e-05 8.605464306918343123e-04 5.249510782838560236e-04
1.000000000000000021e-08 8.214383027876623333e-02 6.332636185479793844e-03 8.901559878763756067e-03 2.399329356412887971e-05 8.854495497521958731e-04 5.378635587842640550e-04
9.999999999999999547e-08 8.214676075046214998e-02 6.332654816714079239e-03 9.012498276468019348e-03 2.408426756036729637e-05 7.607238840259708491e-04 4.750681332667391009e-04
9.999999999999999547e-07 8.217606818565049986e-02 6.332841169031870610e-03 1.005560244874389650e-02 2.513412358471523594e-05 5.915662429555976643e-04 4.331094823863037972e-04
1.000000000000000082e-05 8.246948743752713362e-02 6.334709410803146708e-03 1.662144480334082353e-02 3.936908142442379184e-05 4.474831032693363719e-04 5.789651505029083916e-04
1.000000000000000048e-04 8.543667305574512150e-02 6.353860945144737017e-03 2.886952533972719087e-02 1.299271925492839492e-04 1.259783244067902604e-03 3.610292701615392275e-03
1.000000000000000021e-03 1.173839170077378702e-01 6.590421002393569670e-03 4.703613705861468125e-02 4.729088807401574742e-04 3.312988525660253824e-03 2.807530502203963232e-02
1.000000000000000021e-02 4.646867046346094821e-01 1.161390711730870412e-02 8.845522591167749582e-02 1.691875604780382044e-03 5.292784989487091252e-03 1.365462955612239404e-01
1.000000000000000056e-01 2.969623810886625748e+00 7.404196249231430327e-02 1.395510254220518609e-01 5.898974230586350766e-03 6.618581383983719070e-03 5.282509419180158039e-01
1.000000000000000000e+00 8.681103551890489101e+00 4.210512184901784027e-01 1.631160865661082926e-01 1.991531876316789476e-02 8.927782840676596471e-03 2.418083871291813569e+00
1.000000000000000000e+01 1.379524782106758174e+01 1.815996783076668786e+00 1.781975270088123897e-01 6.563235023393081125e-02 1.551737197501439243e-02 1.439903053777898378e+01
