k l2-order1 h1-semi-order1 l2-order2 h1-semi-order2 
1.000000000000000000e+00 2.053977806003767087e-02 4.197742042733884071e-01 7.409861118013015167e-04 2.980388113659823007e-02
2.000000000000000000e+00 2.486417125114038368e-02 8.911214476623012803e-01 6.985372566950858115e-04 5.747674138139283184e-02
3.000000000000000000e+00 2.833603637267687395e-02 1.390736058472107128e+00 7.833157936069629458e-04 9.397068177420010715e-02
4.000000000000000000e+00 3.037589536343262425e-02 1.917871029526525328e+00 8.407537630559781773e-04 1.311827039924784166e-01
5.000000000000000000e+00 3.069338815195278222e-02 2.364406967891992117e+00 8.159810804424365857e-04 1.606897983669591523e-01
6.000000000000000000e+00 3.064880076628814787e-02 2.843912239018727917e+00 8.228452060695327485e-04 1.939307954823403235e-01
7.000000000000000000e+00 3.075336752812424593e-02 3.333338869406325955e+00 8.336270334568854617e-04 2.275470726472965388e-01
