ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
2.616000000000000000e+03 3.910309435028875430e-02 1.688628470142226612e-01 1.874211788787598865e+00 1.828405295253640872e-01
1.002400000000000000e+04 1.997604311378104944e-02 4.368029434307815762e-02 6.406155831495502495e-01 3.661096302892877935e-02
3.924000000000000000e+04 1.009637554692304449e-02 5.971662273032915698e-03 1.719772950182456017e-01 7.060772168158470537e-03
1.552720000000000000e+05 5.075553643037174732e-03 1.332374927456889385e-03 8.809718289817440595e-02 1.466584311334601055e-03
6.177360000000000000e+05 2.544652832712717035e-03 4.741867651453617592e-04 7.405006188357597663e-02 3.250277816268797872e-04
