ndof h L2-error-u-uh-B 
2.208000000000000000e+03 4.256282653793742876e-02 2.183932212811704687e+00
7.240000000000000000e+03 2.350502473611341958e-02 1.326896208228151020e-01
2.151200000000000000e+04 1.363608190204470411e-02 1.554649192459377216e-02
8.580000000000000000e+04 6.827887419989188758e-03 1.784733852976800672e-03
3.225280000000000000e+05 3.521650750758582339e-03 2.299369404998692027e-04
