ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.640000000000000000e+03 3.892494720807614800e-02 8.991077629141641442e-04 1.150574134513407051e-03
1.010400000000000000e+04 1.989680423298347337e-02 1.135109206825851046e-04 1.418551759068504767e-04
3.952800000000000000e+04 1.005952733805761355e-02 1.395345977128690803e-05 1.715292966414262908e-05
1.563600000000000000e+05 5.057864201305102385e-03 1.724356460591342910e-06 2.101523171495894171e-06
6.219600000000000000e+05 2.535997191333945987e-03 2.141320444956570013e-07 2.600809037225635503e-07
