ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
2.616000000000000000e+03 3.910309435028875430e-02 1.447311111730338259e-02 1.395803216555327741e-01 2.721388554827936304e-02
1.002400000000000000e+04 1.997604311378104944e-02 7.777758122485846186e-03 1.020563251306120245e-01 5.713933951295837275e-03
3.924000000000000000e+04 1.009637554692304449e-02 3.012237015678879710e-03 7.016088602407546948e-02 1.146761806235449977e-03
1.552720000000000000e+05 5.075553643037174732e-03 1.103937175339354728e-03 4.299416110571911004e-02 2.365020147650072845e-04
6.177360000000000000e+05 2.544652832712717035e-03 3.348249629540778639e-04 2.345397424873726933e-02 4.942946941154860300e-05
