ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
5.720000000000000000e+03 3.966644140109588240e-02 6.396626076331123805e-04 1.156542869008572033e-02 1.047498305069448771e-01
2.223200000000000000e+04 2.012018584341396243e-02 7.194157820618863838e-05 2.542580300095373912e-03 2.437961139214256390e-02
8.765600000000000000e+04 1.013282239176588155e-02 7.886294745295377421e-06 8.732827407222973739e-04 9.393442124307101182e-03
3.481040000000000000e+05 5.084716548681748882e-03 1.232203992742579079e-06 3.760144356145517903e-04 6.047782339169922861e-03
