k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.519962042162295468e-01 3.184545278553843617e-02
2.000000000000000000e+00 9.882721938008038887e-01 6.015907729686972849e-02
3.000000000000000000e+00 1.580857307603063866e+00 1.016271049959657502e-01
4.000000000000000000e+00 2.197965324601015347e+00 1.897423864558739903e-01
5.000000000000000000e+00 2.690958346621320718e+00 3.294202820844891466e-01
6.000000000000000000e+00 3.484124413699190903e+00 3.286615271998151733e-01
7.000000000000000000e+00 3.610685972219696005e+00 7.256122110511037393e-01
8.000000000000000000e+00 4.180816287629614436e+00 8.882107781002275271e-01
9.000000000000000000e+00 4.822802796313997220e+00 6.465296868381673612e-01
1.000000000000000000e+01 5.444081812584737889e+00 9.190391085813804928e-01
