k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.521282060010863857e-01 2.108206085868073176e-01
2.000000000000000000e+00 9.884918211210569350e-01 6.094038237148811099e-01
3.000000000000000000e+00 1.581180411310803224e+00 6.912466859368764371e-01
4.000000000000000000e+00 2.197996616972565764e+00 1.515723985808111074e+00
5.000000000000000000e+00 2.691076497309758064e+00 1.648049909372461430e+00
6.000000000000000000e+00 3.484211399523115649e+00 9.095901650794264715e-01
7.000000000000000000e+00 3.611041508285204316e+00 1.455400858343595338e+00
8.000000000000000000e+00 4.181357027959806238e+00 1.330640005604986964e+00
9.000000000000000000e+00 4.823193376133739108e+00 1.399244604070333686e+00
1.000000000000000000e+01 5.444373255837788861e+00 1.604072415405785712e+00
