L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl 
4.548013036435277073e-02 8.006783914947862568e-02 1.479356062628145008e+00 9.657790857486255639e-05 7.160582386912800815e-03 1.795395968927147173e-02 3.942434998603925013e-06 2.050065508444310139e-02 6.830000542630545665e-03 6.296000000000000000e+03 1.541893967219279959e-01 0.000000000000000000e+00
4.893286113329916795e-03 1.128084009241492845e-02 2.084279949724040792e-01 9.998471404346503491e-06 9.066559888785825612e-04 2.038544381833729772e-03 6.819188599511325797e-08 2.284115216672113167e-03 4.892791330899710260e-04 2.439200000000000000e+04 7.709469836096399797e-02 1.000000000000000000e+00
3.705040873990364829e-04 1.388840744613249658e-03 2.566061475601989425e-02 1.234723480853709319e-06 1.084932114930235806e-04 2.154417683794479586e-04 1.226677429988500613e-09 2.449156638562543739e-04 4.238189891967131755e-05 9.600800000000000000e+04 3.854734918048200593e-02 2.000000000000000000e+00
9.163051032856552730e-05 2.130214310294670612e-04 3.935844262651923622e-03 1.532713308935192031e-07 1.686452042549871260e-05 3.390717243951387290e-05 5.021507766532499021e-11 3.813918903257776020e-05 4.523920416443255253e-06 3.809360000000000000e+05 1.927367459024103072e-02 3.000000000000000000e+00
