ndof h L2-error-u-uh-B L2-error-u-uh-B-minus L2-error-u-uh-B-plus 
2.416000000000000000e+03 4.068942293855797032e-02 5.484877651907171803e+00 1.253798981389238509e+00 8.472505351890138314e+00
6.888000000000000000e+03 2.409813463559399432e-02 8.663022496195162958e+00 6.640570218120840362e-01 1.357058164341502682e+01
2.340800000000000000e+04 1.307217464040005134e-02 7.472583042971802314e+00 5.492163450696728733e-01 1.170741743472819429e+01
8.478400000000000000e+04 6.868676216325117316e-03 6.494836946235809982e+00 4.303208097247025465e-01 1.017863418992445190e+01
3.219680000000000000e+05 3.524712029573164821e-03 2.930720398916311975e+00 1.821761805406895973e-01 4.593710536930145416e+00
