ndof h L2-error-u-uh-B-minus L2-error-u-uh-B-plus s-norm 
7.120000000000000000e+02 3.747658444979307113e-02 7.727264234730509829e-01 3.098796479095033085e+00 7.551327812944895745e-01
2.616000000000000000e+03 1.955154717514437715e-02 3.419661697872085626e-01 1.847102385894646259e+00 3.625570289212994846e-01
1.002400000000000000e+04 9.988021556890524719e-03 2.274712694404054658e-01 1.390312439336811368e+00 1.692694624850345775e-01
3.924000000000000000e+04 5.048187773461522247e-03 1.518616612693506618e-01 9.896943475557662406e-01 7.734804976487813510e-02
1.552720000000000000e+05 2.537776821518587366e-03 9.128465665578554267e-02 6.404327652440755525e-01 3.490983388803693688e-02
6.177360000000000000e+05 1.272326416356358517e-03 5.081483218324410467e-02 3.766383897415633841e-01 1.595694571093273645e-02
