L2-error-u-uh-B H1-semi-error-u-uh-B H1-semi-error-u-uh-B-absolute H1-semi-norm-zh-Omega Jump-uh-Ph(u) GLS-uh-Ph(u)-Omega Tikh-uh-Ph(u)-Omega s-norm L2-error-uh-Ph(u)-omega ndof hmax reflvl cond 
4.770936985093052196e-02 8.081789637435343732e-02 1.493214332249547915e+00 9.636696670322242742e-05 7.340637041101415357e-03 1.842237295942683248e-02 4.161547181329737045e-06 2.086543385462370434e-02 6.487545638029794740e-03 6.296000000000000000e+03 1.541893967219279959e-01 0.000000000000000000e+00 1.067352867713333130e+09
5.914639603795337694e-03 1.161672725220046047e-02 2.146339412208706776e-01 9.928797240578899442e-06 9.534130114566901574e-04 2.146808709694981651e-03 8.118955938019989970e-08 2.383618977304253692e-03 4.046687965749765623e-04 2.439200000000000000e+04 7.709469836096399797e-02 1.000000000000000000e+00 4.494254345947014618e+10
5.721067988604808729e-04 1.476276221253943442e-03 2.727609737401481133e-02 1.226328918727308112e-06 1.161851302106483750e-04 2.337535261762883681e-04 1.714624718274298743e-09 2.621908259709646743e-04 2.455259366881231274e-05 9.600800000000000000e+04 3.854734918048200593e-02 2.000000000000000000e+00 2.388949094171542480e+12
1.160160788007007010e-04 2.265239279463229305e-04 4.185320218028127856e-03 1.527667972371592318e-07 1.815368666538000328e-05 3.671572487919568662e-05 5.359176439984053181e-11 4.098452314917601721e-05 1.451553346780563267e-06 3.809360000000000000e+05 1.927367459024103072e-02 3.000000000000000000e+00 1.646612773333038438e+14
