gamma-Jump l2-order1 s-order1 cond-order1 l2-order2 s-order2 cond-order2 l2-order3 s-order3 cond-order3 
9.999999999999999799e-13 7.993327229428102976e-02 3.137883996615548066e-02 9.102885544142762199e+06 3.993543285458280023e-02 1.856380421597583806e-03 3.714533236413117886e+09 4.640356193684408784e-03 3.011703059742432912e-03 7.688173984133975830e+11
9.999999999999999395e-12 7.993327229641618292e-02 3.137883996626868871e-02 9.102885544110817835e+06 3.993543415308936639e-02 1.856380424000061546e-03 3.714533230484234333e+09 4.640356193684408784e-03 3.011703059742432912e-03 7.688173984133975830e+11
1.000000000000000036e-10 7.993327229182460580e-02 3.137883996610702636e-02 9.102885543792556971e+06 3.993543426702528265e-02 1.856380424819360601e-03 3.714533238593951225e+09 4.640356193684408784e-03 3.011703059742432912e-03 7.688173984133975830e+11
1.000000000000000062e-09 7.993327228688018593e-02 3.137883996567594758e-02 9.102885540609894320e+06 3.993543309062970448e-02 1.856380421131416988e-03 3.714533184278870583e+09 4.640356193684408784e-03 3.011703059742432912e-03 7.688173984133975830e+11
1.000000000000000021e-08 7.993327227833463278e-02 3.137883996134806924e-02 9.102885508787024766e+06 3.993543355773530867e-02 1.856380423126643454e-03 3.714533194309505939e+09 4.640356193684408784e-03 3.011703059742432912e-03 7.688173984133997803e+11
9.999999999999999547e-08 7.993327213269414699e-02 3.137883991789190002e-02 9.102885190556081012e+06 3.993543280851657301e-02 1.856380421690698125e-03 3.714533196682699203e+09 4.640244415746250760e-03 3.011639353068245629e-03 7.688175676139250488e+11
9.999999999999999547e-07 7.993327071023362262e-02 3.137883948331503248e-02 9.102882008250299841e+06 3.993542995549529545e-02 1.856380415437760504e-03 3.714533018442016602e+09 4.640354140251904021e-03 3.011700624790022204e-03 7.688179282126538086e+11
1.000000000000000082e-05 7.993325654781241463e-02 3.137883513835474508e-02 9.102850185315819457e+06 3.993540078571088114e-02 1.856380355485560182e-03 3.714531997234721184e+09 4.640625196754495294e-03 3.011867032196847288e-03 7.688185004699226074e+11
1.000000000000000048e-04 7.993311481881822111e-02 3.137879168868715207e-02 9.102531968245539814e+06 3.993512482492712901e-02 1.856379769791293875e-03 3.714521265524901390e+09 4.640186636692971919e-03 3.011611962693262323e-03 7.688204668312209473e+11
1.000000000000000021e-03 7.993169883864227609e-02 3.137835721812577694e-02 9.099351025143109262e+06 3.993235763863874077e-02 1.856373922022329717e-03 3.714414194108559608e+09 4.640379947206558012e-03 3.011714984336633007e-03 7.688185348775682373e+11
1.000000000000000021e-02 7.991766137751903087e-02 3.137401511363494683e-02 9.067663877081338316e+06 3.990469577303098342e-02 1.856315482893406343e-03 3.713343793594045639e+09 4.639390899418805239e-03 3.011134978469940868e-03 7.688044151611054688e+11
1.000000000000000056e-01 7.978901858925604995e-02 3.133085188460909415e-02 8.762562082760026678e+06 3.962903219791207021e-02 1.855733560328407189e-03 3.702673957903860569e+09 4.629910316270783102e-03 3.005553131544030660e-03 7.686595734036520996e+11
1.000000000000000000e+00 7.932282610105617637e-02 3.092308984811448225e-02 6.558631524274043739e+06 3.696634823589656921e-02 1.850156749088717641e-03 3.599260269978184700e+09 4.535916100715639901e-03 2.950167420144583254e-03 7.672177932362834473e+11
1.000000000000000000e+01 8.834123045520111961e-02 2.843718047310059283e-02 1.882450990990154212e+06 1.887441233339556823e-02 1.814021124601338658e-03 2.813880767361187935e+09 3.627029926188506462e-03 2.415076000217490897e-03 7.531372477404703369e+11
