k k-norm-order1 k-norm-order2 
1.000000000000000000e+00 4.343652453977904782e-01 3.062620374301876919e-02
2.000000000000000000e+00 9.263633935265925823e-01 5.881519871043684039e-02
3.000000000000000000e+00 1.450886974813707653e+00 9.620968081760705726e-02
4.000000000000000000e+00 2.003662039048275556e+00 1.344361957509646877e-01
5.000000000000000000e+00 2.472535976680792835e+00 1.645725078036347211e-01
6.000000000000000000e+00 2.973169264453628724e+00 1.984447585656393398e-01
7.000000000000000000e+00 3.484272972864180584e+00 2.329360831953652400e-01
8.000000000000000000e+00 3.970261215650198405e+00 2.647441532639684403e-01
9.000000000000000000e+00 4.473076995833824121e+00 2.990652093216511487e-01
1.000000000000000000e+01 4.972218356341886469e+00 3.310615332802501198e-01
